Inherit,Palm in I's roll forward from right shoulder, little fingers circling each other.,SEE,90
Legend,Palm in horizontal L's circle each other forward from right shoulder.,SEE,91
Character,C circles clockwise, then touches on left chest.,SEE,92
Attitude,Right A-hand circles the heart and touches chest.,SEE,93
Feature,Side of F hand circles heart clockwise once on chest.,SEE,94
Moral,Side of M on chest near heart, make circle and touch again.,SEE,95
Morale,Side of M circles on chest near heart, ending in E.,SEE,96
Noble,Sign Character (SEE) with N.,SEE,97
Personal,Right P hand circles clockwise then touches on left shoulder.,SEE,98
Qualify,Sign Character (SEE) with Q.,SEE,99
Trait,Side of T circles near left shoulder, then touches it.,SEE,100
Free,Palm-in F's, crossed at wrists, separate and twist to palm-out.,SEE,101
Liberty,Palm-in L's, crossed at wrists, separate and twist to palm-out.,SEE,102
Rescue,Separate palm-in crossed R's to sides, twisting to palm-out.,SEE,103
Persuade,Sign Urge (SEE) with X's.,SEE,104
Treat,Palms up T's push forward; repeat.,SEE,105
Urge,Horizontal A's, slightly to the side, jerk forward twice.,SEE,106
Fresh,Back of F hand slides left across left fingers and palm, arcing up.,SEE,107
Gospel,Little finger finger side of G hand brushes up left palm; repeat.,SEE,108
Modern,Back of M brushes down, along left palm and up.,SEE,109
New,Back of right palm-up flat hand arcs down, brushes across left palm and arcs up slightly.,SEE,110
Raw,Palm up R arcs left across palm.,SEE,111
Brick,Sign Stone (SEE) with right B.,SEE,112
Concrete,Back of C strikes back of left palm down S hand.,SEE,113
Fossil (Alt. 2),Fingertips and thumb of right F make elongated circle in palm up left hand.,SEE,114
Gravel,Back of G taps on back of left S.,SEE,115
Mineral,Sign Stone (SEE) with right extended M.,SEE,116
Ore,Sign Stone (SEE) with right O,SEE,117
Pebble,Sign Stone (SEE) with right P.,SEE,118
Rock,Sign Stone (SEE) with righ R.,SEE,119
Stone,Back of right hand palm-up S raps back of left palm-down S, repeat.,SEE,120
Atom,Left horizontal palm in pinkie, palm-down. Right A thumb circles near left thumb.,SEE,121
Electron,Left horizontal palm in pinkie, palm down, right E circles near left  thumb.,SEE,122
Molecule,Left horizontal palm in pinkie, palm down, right M circles near left thumb.,SEE,123
Neutron,Sign Atom (SEE) with right N,SEE,124
Proton,Sign Atom (SEE) with right P.,SEE,125
Attract,Thumb of right A on palm; both move toward body.,SEE,126
Allergy,Right index points at left A and both draw sharply apart.,SEE,127
Contrast,Right index points at left palm-out C, jerk hands apart.,SEE,128
Enemy,Palm-out E and left horizontal index pull away from each other.,SEE,129
Foe,F-hand horizontal left index move sharply apart.,SEE,130
Oppose,Indexes point at each other, hands jerk apart.,SEE,131
Rival,Palm-in R fingertips point at each other, arc apart sideways.,SEE,132
Solve,Thumb of palm-up flat O slides past fingertips as hand moves right, becoming palm-up A-hand.,SEE,133
Evaporate,E shakes-up out of left horizontal C.,SEE,134
Gas,Right G tap two times and rises away slightly from horizontal C.,SEE,135
Vapor,V wiggles up through left horizontal C.,SEE,136
Vent,Sign Evaporate (SEE) with right V straight up from thumb.,SEE,137
Associate,Thumbs of extended A's circle each other left hand pointing up, right pointing down.,SEE,138
Carol,Sign Music (SEE) with C to L.,SEE,139
Chorus,Sign Music (SEE) with right C.,SEE,140
Hymn,Right palm left H swings from side to side behind palm in left hand.,SEE,141
Lyric,Right palm left L swings back and forth behind bent left arm.,SEE,142
Melody,Sign Music (SEE) with M.,SEE,143
Music,Fingertips of right flat hand pointing toward left palm, arcs side-to-side behind palm,SEE,144
Poem,Sign Music (SEE) with P to M.,SEE,145
Poetry,Sign Music with P to Y,SEE,146
Rhythm,Sign Music (SEE) with right R.,SEE,147
Song,Right S arcs from side to side behind left flat palm.,SEE,148
Tune,Right T hand arcs from side to side behind left palm.,SEE,149
Solid,Right a knocks on left palm.,SEE,150
Tap,Right T taps left palm.,SEE,151
Condition,Sign Require (SEE) with right C.,SEE,152
Demand,Sign Require (SEE) with right D.,SEE,153
Impress,Thumb of extended A on left palm, move both back toward body.,SEE,154
Insist,Sign Require (SEE) with right I.,SEE,155
Require,Tip of right X on left palm, both arc together toward body.,SEE,156
Act,Thumbs of A-hands facing each other brush alternately down chest.,SEE,157
Drama,Thumbs and fingers of D's brush down chest alternately.,SEE,158
Perform,Sign Act (SEE) with P's.,SEE,159
Theater/Theatre,Sign Act (SEE) with T's,SEE,160
Blood,Palm-out 5 touches back of hand, then drops down with fluttering fingers.,SEE,161
Continent,Sign Ground (SEE) with right C.,SEE,162
Ecology,Palm up E on back of left hand circles slightly out and back. ,SEE,163
Empire,Palm out E on back of left hand circles out, around and along arm.,SEE,164
Field,Palm down F on back of hand, circle out, back to elbow, along arm to hand.,SEE,165
Ground (Noun),Right G on back of left hand circles out and back.,SEE,166
Land,Sign Ground (SEE) with right L.,SEE,167
Meadow,Sign Ground (SEE) with right M.,SEE,168
Pasture,Sign Ground (SEE) with palm-down flat hand.,SEE,169
Plain,Sign Ground (SEE) with right Open 4.,SEE,170
Range,Sign Ground (SEE) with right R.,SEE,171
Sample,Palm-out open 9's , alternate pull back to 9's while moving slightly to right.,SEE,172
Permanent,Middle fingers of P's touch, and both move forward.,SEE,173
Constant,C hands, thumbs touching move foeward.,SEE,174
Continue,Thumb of right extended A on thumb of left A, both move foreward.,SEE,175
Maintain,Sign Continue (SEE) with M's.,SEE,176
Momentum,Sign Continue (SEE) with right M,SEE,177
Persist,Sign Continue (SEE) with middle fingertip of right P on middle fingertip of left P.,SEE,178
Remain,Sign Continue (SEE) with R's.,SEE,179
Alcohol,Sign Medicine (SEE) with right extended A.,SEE,180
Medicine,Tip of bent middle finger rubs circle on left palm.,SEE,181
Vaseline,Heel of V hand circles on left palm.,SEE,182
Economy,Palm up E taps left palm; repeat. ,SEE,183
Analysis,Palm down V's point at each other, separate while bending fingers, repeat, end with palm out S's.,SEE,184
Diagnose,D's fingertips almost touching, indexes separate while bending, repeat while moving downwards.,SEE,185
Norm,Palm out N-hands tap together.,SEE,186
Hole,Thumb side of right S on left palm opens to C-hand.,SEE,187
Inflate,Fla-O on left palm open to C.,SEE,188
Danger,Thumb-side of A arcs up, hitting back of left horizontal S; repeat.,SEE,189
Harm,Vertical H arcs up, striking back of left S several times.,SEE,190
Risk,Sign Danger (SEE) with R.,SEE,191
Threat,Back of T arcs up, hitting back of left S; repeat.,SEE,192
Bank,Sign Store (SEE) with B.,SEE,193
Grocer,Right G nods toward side of left C.,SEE,194
Market,Sign Store (SEE) with extended M.,SEE,195
Store,Right flat-O behind left C, nods rapidly toward and from side of C-hand.,SEE,196
Stuff,Right palm down S makes stuffing motions towards left C hand.,SEE,197
Mutual,Palm-down Y hands move together side to side.,SEE,198
Minimum,Right M over left M, right hand moves down toward left hand.,SEE,199
Limit,Palm-in bent hands, right higher than left, pivot to face each other, right above left.,SEE,200
Maximum,Sign Limit (SEE) with extended M's,SEE,201
Broad,Heel of B-hands together, then separate forward.,SEE,202
General,Palms of G hands touch; then separate forward.,SEE,203
Public,P's move out and forward.,SEE,204
Vast,Sign Broad (SEE) with V.,SEE,205
Wide,W hands, palms facing and thumbs touching, separate, moving slightly out and forward.,SEE,206
Exhaust,Back of right V on palm up left hand drags inward across palm.,SEE,207
Lounge,Back of right L lies on left palm, right moves slightly backwards.,SEE,208
Touch,Middle finger F right hand touches back of left hand,SEE,209
Get,Right opens hand above left, draw toward body, closing to S-hands.,SEE,210
Obtain,Heel of right O, on top of left S, both move towards body.,SEE,211
Receive,Sign Get (SEE) with R's.,SEE,212
Gray (Alt. 2),Sign Though (SEE) with open 5's,SEE,213
Matter,Sign Though (SEE) with extended M's.,SEE,214
Spite (Unused Alt.),Palm in left hand and right S brush back and forth forward and back.,SEE,215
Though,Slap fingertips forward and back against each other alternately.,SEE,216
Negotiate,N taps left palm each time both move left to right twice,SEE,217
Chip,Right C arcs down and up, hitting side of left index with thumb.,SEE,218
Flake,Palm up F arcs downward, striking side of left index in passing.,SEE,219
Fragment,Left I hand points slightly right; right F arcs down across end of little finger.,SEE,220
Part,Middle finger of P arcs down, hitting side of left index.,SEE,221
Segment,Right palm in S arcs down to clip tip of horizontal left index.,SEE,222
Inferior,Right I circles once under palm down, left hand, tip of I hits top of palm.,SEE,223
Base,Horizontal B circles under left palm.,SEE,224
Element,E circles under palm.,SEE,225
Fundamental,Circle right palm out F below left palm.,SEE,226
Kindergarten,Sign Base (SEE) with right K.,SEE,227
-neath,Sign Base (SEE) with right N,SEE,228
Prime,Sign Base (SEE) with right P.,SEE,229
Sub-,Sign Base (SEE) with right S,SEE,230
Theme,Right T circles beneath left hand.,SEE,231
Fluid,F at mouth waves down.,SEE,232
Omit,O's throw down to side opening to palm-down 5's.,SEE,233
Ambition,Thumbsides of A's brush alternately up chest (reverse of act).,SEE,234
Evident,Palm up E falls on left palm.,SEE,235
Proof,Back of F drops onto left palm.,SEE,236
Prove,Back of right V drops onto left palm.,SEE,237
Bright,Tips of flat-O's together open and separate upwards with fluttering fingers.,SEE,238
Clear,Flat-O's touching tips; open to 5 hands.,SEE,239
Obvious,Palm-out O's arc sideways, up and out and open to 5's,SEE,240
Produce,Touch right P on left, twist hands to palm-in and touch again.,SEE,241
Exhibit,Palm out E against left palm; both circle horizontally.,SEE,242
Vary,1's, palm-down, move alternately up and down to each side.,SEE,243
Extract,Inverted E pulls sharply upward through palm in C, tilting forward.,SEE,244
Out,Right open hand pulls out from palm-left C and closes to O-hand.,SEE,245
Quit,Sign Out (SEE) with H.,SEE,246
Resign,R fingertips arc back out of left O.,SEE,247
Devil,Thumb of 3 on temple, bend 2 fingers at the same time; repeat.,SEE,248
Perceive,V at eye, circles forward to palm-down pointing at left vertical index.,SEE,249
Flesh,Palm in horizontal F hands move down body.,SEE,250
Compel,Sign Trespass with Small C.,SEE,251
Vaccine,Back of V fingers on upper left arm; thumb of V drops to index.,SEE,252
Irrigate,I at mouth slide across left palm and right.,SEE,253
Ponder,Sign Reason (SEE) with P.,SEE,254
Gasp,G closes rapidly at open mouth.,SEE,255
Telegraph,Right palm down X taps along left index finger.,SEE,256
A (article),Palm-out A moves slightly right.,SEE,257
Abbreviate,Side  of A-hand on side of left H, slide A back and forth,SEE,258
Abdomen,A-hand, palm in, pats abdomen.,SEE,259
Able,Palm down A's drop slightly.,SEE,260
Visible,Palm-out V's at sides of eye drop to palm-down A's which drop slightly.,SEE,261
Abort,Palm-down S on palm lefts up and throws down to open 5.,SEE,262
Dispose,Right palm-in D on left palm slides out and off to palm-down 5-hand.,SEE,263
Garbage,Back of G on palm, slide forward and off throwing down as palm-down 5.,SEE,264
Junk,Back of palm-up I brushes off left palm, twists to palm-out, then throws (junk) down to 5.,SEE,265
Remove,Fingertips of flat-O on left palm arc off to throw open hand down.,SEE,266
Trash,Back of left palm, slide forward and throws off to palm-down 5-hand.,SEE,267
Waste,Flat-O, palm-up on left palm, slides off and opens to 5-hand.,SEE,268
About,Index finger circles the tip of horizontal left palm-in flat-O hand.,SEE,269
Above,Palm circles once over head.,SEE,270
Absent,Right index clips bent middle finger of palm-down left hand, right to left.,SEE,271
Delinquent,Left palm-down D; right index clips past fingertips inward.,SEE,272
Lack,Left L point downward; index of horizontal right L moves inward and clips tip of left index,SEE,273
Abstract,Right A-hand circles up and forward sideways from forehead.,SEE,274
Concept,Thumb of C-hand on forehead spiral up and out.,SEE,275
Fantasy,Palm-out 4 of temple loops forward.,SEE,276
Fiction,Middle finger of F on temple circles up to right,SEE,277
Hypothesis,H circles from forehead up to right.,SEE,278
Myth,Right M arcs twice off forehead,SEE,279
Opinion (Alt. 1),O arcs out near forehead.,SEE,280
Theory,Right T circles from forehead upward to the right.,SEE,281
Idea,From side of forehead, palm-in I arcs up and out.,SEE,282
Abuse,Right horizontal S beats left index back and forth.,SEE,283
Academic,Right palm-down A claps on left palm.,SEE,284
Accept,Palm-down flat hands rise, flat-O's on chest.,SEE,285
Stamp,Side of S-fist hits left palm-up palm.,SEE,286
Accident,Palm-in horizontal S's at sides hit knuckles together once.,SEE,287
Accompany,A-hands come together, palm-to-palm, and move forward.,SEE,288
Escort,Vertical 1-hands come together and move forward.,SEE,289
Accomplish,C-hands facing temples, twist out and up twice to palm-out C's.,SEE,290
Achieve,Palm-out, A's twist from temples out and up twice.,SEE,291
Succeed,Palm-in index fingers at temples twist out to sides and up.,SEE,292
Success,Index fingers at temples twist out and up to sides, twisting twice,SEE,293
Account,Index and thumb tip of right 9 brushes up left palm, repeat.,SEE,294
Calorie,Small C moves up left palm.,SEE,295
Accuse,A drops to hit top side of left index both hands move slightly downward.,SEE,296
Ache,A's jerk toward each other several times near area of ache (can be done with twisting motion).,SEE,297
Hurt,Vertical H-hands with extended thumbs, left a bit ahead of right, drop to point forward, repeat.,SEE,298
Injure,Palm-in I-hands fingers pointing, jerk toward each other twisting slightly.,SEE,299
Pain,P-hands point at each other, twist toward each other, may repeat.,SEE,300
Wound,Palm-in W's point at each other, approach, twisting slightly.,SEE,301
Acquaint,Rest extended A-thumbs first right on left, then left on right.,SEE,302
Colleague,Cross thumb of right C on thumb of palm-up left C, reverse hands.,SEE,303
Mate,Both hands of M-fingers touch, palms-facing right on left, then left on right.,SEE,304
Friend,Index fingers hook, first right over left, then left over right.,SEE,305
Neighbor,Palms-facing, open N-hands rest, first right on left, then left on right,SEE,306
Partner,Middle finger of P's, touch first right on left, then left on right,SEE,307
Relate,R-fingers rest first right on left, then left on right,SEE,308
Area,Palm-out A-thumb touch, circle in toward chest, touch again.,SEE,309
District,Palm-out D's circle back towards body.,SEE,310
Lot,Thumbtips of palm-down L-hands touch, separate and circle toward body, and touch again,SEE,311
Place,Middle fingers of P's touch ahead of you, circle, then touch nearer you,SEE,312
Position,P's touch searate and circle back to N's touching,SEE,313
Atmosphere,Right A-hand makes a half circle around left index.,SEE,314
Situate,S-hands touch, circle hoizontally toward body, and touch again.,SEE,315
Territory,Palm-out T's, circle back to body,SEE,316
Culture,Right C curves around vertical left index finger.,SEE,317
Environ-,Right E curves around vertical palm-in left index.,LAS,318
Local,Right L behind vertical left index circles around index to palm-in.,SEE,319
Orient,Right O circles left vertical index,SEE,320
Social,Right S curves around vertical left index,SEE,321
Across,Right palm-left hand arcs across back of left palm-down hand.,SEE,322
Acute,Bent middle finger of open right hand touches thumb of left A, flicks off.,SEE,323
Blade,Shake heel of B upward from left index fingertips.,SEE,324
Sharp,Right middle finger flicks away from left idex tip, turning palm-down.,SEE,325
Adapt,A-palms together, reverse position, changing to D's.,SEE,326
