id,identifier
90,Inherit,Palm in I's roll forward from right shoulder, little fingers circling each other.,SEE
91,Legend,Palm in horizontal L's circle each other forward from right shoulder.,SEE
92,Character,C circles clockwise, then touches on left chest.,SEE
93,Attitude,Right A-hand circles the heart and touches chest.,SEE
94,Feature,Side of F hand circles heart clockwise once on chest.,SEE
95,Moral,Side of M on chest near heart, make circle and touch again.,SEE
96,Morale,Side of M circles on chest near heart, ending in E.,SEE
97,Noble,Sign Character (SEE) with N.,SEE
98,Personal,Right P hand circles clockwise then touches on left shoulder.,SEE
99,Qualify,Sign Character (SEE) with Q.,SEE
100,Trait,Side of T circles near left shoulder, then touches it.,SEE
101,Free,Palm-in F's, crossed at wrists, separate and twist to palm-out.,SEE
102,Liberty,Palm-in L's, crossed at wrists, separate and twist to palm-out.,SEE
103,Rescue,Separate palm-in crossed R's to sides, twisting to palm-out.,SEE
104,Persuade,Sign Urge (SEE) with X's.,SEE
105,Treat,Palms up T's push forward; repeat.,SEE
106,Urge,Horizontal A's, slightly to the side, jerk forward twice.,SEE
107,Fresh,Back of F hand slides left across left fingers and palm, arcing up.,SEE
108,Gospel,Little finger finger side of G hand brushes up left palm; repeat.,SEE
109,Modern,Back of M brushes down, along left palm and up.,SEE
110,New,Back of right palm-up flat hand arcs down, brushes across left palm and arcs up slightly.,SEE
111,Raw,Palm up R arcs left across palm.,SEE
112,Brick,Sign Stone (SEE) with right B.,SEE
113,Concrete,Back of C strikes back of left palm down S hand.,SEE
114,Fossil (Alt. 2),Fingertips and thumb of right F make elongated circle in palm up left hand.,SEE
115,Gravel,Back of G taps on back of left S.,SEE
116,Mineral,Sign Stone (SEE) with right extended M.,SEE
117,Ore,Sign Stone (SEE) with right O,SEE
118,Pebble,Sign Stone (SEE) with right P.,SEE
119,Rock,Sign Stone (SEE) with righ R.,SEE
120,Stone,Back of right hand palm-up S raps back of left palm-down S, repeat.,SEE
121,Atom,Left horizontal palm in pinkie, palm-down. Right A thumb circles near left thumb.,SEE
122,Electron,Left horizontal palm in pinkie, palm down, right E circles near left  thumb.,SEE
123,Molecule,Left horizontal palm in pinkie, palm down, right M circles near left thumb.,SEE
124,Neutron,Sign Atom (SEE) with right N,SEE
125,Proton,Sign Atom (SEE) with right P.,SEE
126,Attract,Thumb of right A on palm; both move toward body.,SEE
127,Allergy,Right index points at left A and both draw sharply apart.,SEE
128,Contrast,Right index points at left palm-out C, jerk hands apart.,SEE
129,Enemy,Palm-out E and left horizontal index pull away from each other.,SEE
130,Foe,F-hand horizontal left index move sharply apart.,SEE
131,Oppose,Indexes point at each other, hands jerk apart.,SEE
132,Rival,Palm-in R fingertips point at each other, arc apart sideways.,SEE
133,Solve,Thumb of palm-up flat O slides past fingertips as hand moves right, becoming palm-up A-hand.,SEE
134,Evaporate,E shakes-up out of left horizontal C.,SEE
135,Gas,Right G tap two times and rises away slightly from horizontal C.,SEE
136,Vapor,V wiggles up through left horizontal C.,SEE
137,Vent,Sign Evaporate (SEE) with right V straight up from thumb.,SEE
138,Associate,Thumbs of extended A's circle each other left hand pointing up, right pointing down.,SEE
139,Carol,Sign Music (SEE) with C to L.,SEE
140,Chorus,Sign Music (SEE) with right C.,SEE
141,Hymn,Right palm left H swings from side to side behind palm in left hand.,SEE
142,Lyric,Right palm left L swings back and forth behind bent left arm.,SEE
143,Melody,Sign Music (SEE) with M.,SEE
144,Music,Fingertips of right flat hand pointing toward left palm, arcs side-to-side behind palm,SEE
145,Poem,Sign Music (SEE) with P to M.,SEE
146,Poetry,Sign Music with P to Y,SEE
147,Rhythm,Sign Music (SEE) with right R.,SEE
148,Song,Right S arcs from side to side behind left flat palm.,SEE
149,Tune,Right T hand arcs from side to side behind left palm.,SEE
150,Solid,Right a knocks on left palm.,SEE
151,Tap,Right T taps left palm.,SEE
152,Condition,Sign Require (SEE) with right C.,SEE
153,Demand,Sign Require (SEE) with right D.,SEE
154,Impress,Thumb of extended A on left palm, move both back toward body.,SEE
155,Insist,Sign Require (SEE) with right I.,SEE
156,Require,Tip of right X on left palm, both arc together toward body.,SEE
157,Act,Thumbs of A-hands facing each other brush alternately down chest.,SEE
158,Drama,Thumbs and fingers of D's brush down chest alternately.,SEE
159,Perform,Sign Act (SEE) with P's.,SEE
160,Theater/Theatre,Sign Act (SEE) with T's,SEE
161,Blood,Palm-out 5 touches back of hand, then drops down with fluttering fingers.,SEE
162,Continent,Sign Ground (SEE) with right C.,SEE
163,Ecology,Palm up E on back of left hand circles slightly out and back. ,SEE
164,Empire,Palm out E on back of left hand circles out, around and along arm.,SEE
165,Field,Palm down F on back of hand, circle out, back to elbow, along arm to hand.,SEE
166,Ground (Noun),Right G on back of left hand circles out and back.,SEE
167,Land,Sign Ground (SEE) with right L.,SEE
168,Meadow,Sign Ground (SEE) with right M.,SEE
169,Pasture,Sign Ground (SEE) with palm-down flat hand.,SEE
170,Plain,Sign Ground (SEE) with right Open 4.,SEE
171,Range,Sign Ground (SEE) with right R.,SEE
172,Sample,Palm-out open 9's , alternate pull back to 9's while moving slightly to right.,SEE
173,Permanent,Middle fingers of P's touch, and both move forward.,SEE
174,Constant,C hands, thumbs touching move foeward.,SEE
175,Continue,Thumb of right extended A on thumb of left A, both move foreward.,SEE
176,Maintain,Sign Continue (SEE) with M's.,SEE
177,Momentum,Sign Continue (SEE) with right M,SEE
178,Persist,Sign Continue (SEE) with middle fingertip of right P on middle fingertip of left P.,SEE
179,Remain,Sign Continue (SEE) with R's.,SEE
180,Alcohol,Sign Medicine (SEE) with right extended A.,SEE
181,Medicine,Tip of bent middle finger rubs circle on left palm.,SEE
182,Vaseline,Heel of V hand circles on left palm.,SEE
183,Economy,Palm up E taps left palm; repeat. ,SEE
184,Analysis,Palm down V's point at each other, separate while bending fingers, repeat, end with palm out S's.,SEE
185,Diagnose,D's fingertips almost touching, indexes separate while bending, repeat while moving downwards.,SEE
186,Norm,Palm out N-hands tap together.,SEE
187,Hole,Thumb side of right S on left palm opens to C-hand.,SEE
188,Inflate,Fla-O on left palm open to C.,SEE
189,Danger,Thumb-side of A arcs up, hitting back of left horizontal S; repeat.,SEE
190,Harm,Vertical H arcs up, striking back of left S several times.,SEE
